C:\Users\James Camacho\Documents\College\Freshman\Pokerbots-2023\python_skeleton\stats\kelly.py:11: RuntimeWarning: invalid value encountered in log
  return (1-q)*np.log(d-x)+q*np.log(d+n+x)-np.log(d)
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=10, max_cost=398, bet=5
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=6
min_cost=2, max_cost=392, bet=8
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=2, max_cost=393, bet=14
min_cost=58, max_cost=379, bet=89
min_cost=128, max_cost=290, bet=157
min_cost=2, max_cost=133, bet=71
min_cost=2, max_cost=62, bet=48
min_cost=2, max_cost=14, bet=8
min_cost=2, max_cost=6, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=8, max_cost=396, bet=10
min_cost=44, max_cost=386, bet=49
min_cost=144, max_cost=337, bet=136
min_cost=258, max_cost=265, bet=186
min_cost=136, max_cost=136, bet=135
min_cost=16, max_cost=46, bet=36
min_cost=3, max_cost=399, bet=2
min_cost=4, max_cost=398, bet=3
min_cost=2, max_cost=396, bet=5
min_cost=2, max_cost=398, bet=3
min_cost=2, max_cost=395, bet=8
min_cost=18, max_cost=387, bet=38
min_cost=134, max_cost=349, bet=160
min_cost=189, max_cost=189, bet=116
min_cost=2, max_cost=84, bet=64
min_cost=2, max_cost=20, bet=10
min_cost=3, max_cost=399, bet=2
min_cost=4, max_cost=398, bet=6
min_cost=8, max_cost=392, bet=12
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=4, max_cost=396, bet=10
min_cost=72, max_cost=386, bet=42
min_cost=76, max_cost=350, bet=112
min_cost=202, max_cost=238, bet=166
min_cost=137, max_cost=137, bet=113
min_cost=4, max_cost=44, bet=40
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=4, max_cost=398, bet=3
min_cost=2, max_cost=396, bet=7
min_cost=8, max_cost=398, bet=4
min_cost=2, max_cost=394, bet=5
min_cost=10, max_cost=389, bet=6
min_cost=2, max_cost=384, bet=19
min_cost=3, max_cost=399, bet=1
min_cost=4, max_cost=398, bet=6
min_cost=8, max_cost=392, bet=6
min_cost=64, max_cost=388, bet=33
min_cost=4, max_cost=398, bet=4
min_cost=10, max_cost=394, bet=14
min_cost=40, max_cost=380, bet=41
min_cost=132, max_cost=339, bet=145
min_cost=158, max_cost=194, bet=149
min_cost=2, max_cost=115, bet=82
min_cost=2, max_cost=33, bet=26
min_cost=2, max_cost=7, bet=6
min_cost=1, max_cost=1, bet=0
min_cost=1, max_cost=1, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=6
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=6
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=6
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
